route_label,route_index,route_option_id,distance_km,optimized_route_time_min,optimized_route_cost,traffic_density_index,estimated_co2_kgco2e,delivery_efficiency_score,route_reliability_index,time_score,cost_score,co2_score,reliability_score,traffic_score,efficiency_score,delivery_option_score,score_rank,score_category
Route option 781,780,781,3.448972404324258,9.62,88.06,0.3659755504471018,2.414222820893831,0.0942,0.807,97.95408558367265,97.790858641668,94.99228982290717,84.99156829679596,79.65233097978061,7.397482744620383,88.2304821953632,11,Very good
Route option 350,349,350,1.4964280173594255,2.32,15.29,0.6680622530985729,1.0474745071327578,1.2048,0.729,99.77767230396442,100.0,98.98582323552996,71.8381112984823,41.68886158466765,97.58018676410882,88.11750802604404,12,Very good
Route option 183,182,183,2.626278373558885,12.18,39.23,0.3316625157708023,1.8383508013912462,0.1517,0.766,97.31458119957034,99.27323286906048,96.67494355521693,78.07757166947724,83.96447656697005,12.06658546488023,88.10158996636687,13,Very good
Route option 309,308,309,6.578081280353469,11.25,159.96,0.355638375759929,4.604546538213123,0.2449,0.843,97.5469011516075,95.60812862017461,88.59233244852854,91.06239460370996,80.95141171198082,19.634591961023144,88.0684387564798,14,Very good
Route option 885,884,885,4.381372038027999,6.16,58.18,0.2386595270843175,3.0668869219629875,0.5587,0.701,98.81841572781094,98.6979514517128,93.08525553678714,67.11635750421586,95.6522340341596,45.11571254567601,88.01886785164446,15,Very good
Route option 727,726,727,4.219048088763923,11.84,118.78,0.430636643643405,2.953262880726936,0.3115,0.815,97.39951537558393,96.85826523053757,93.41725624283136,86.34064080944351,71.52632142336344,25.042630937880638,87.87876203305123,16,Very good
Route option 838,837,838,3.200653650785177,4.14,51.74,0.260161623010242,2.2404038593682696,0.7782,0.655,99.32302465589169,98.89345606003572,95.50017545452688,59.35919055649242,92.95004902088412,62.93950466910273,87.83215825365923,17,Very good
Route option 720,719,720,2.156153267630927,3.41,21.19,0.3838450731381321,1.5092711143565283,0.4535,0.686,99.50538332792085,99.82088863523212,97.63648908072201,64.5868465430017,77.40665425243097,36.573284612261475,86.76107562726762,18,Very good
Route option 297,296,297,11.73437164599103,15.05,264.9,0.210813817359776,8.213863288984912,0.2492,0.847,96.59763683145563,92.4223749559811,78.04618661039584,91.73693086003374,99.1516258962783,19.983759642712144,86.57728575385649,19,Very good
Route option 247,246,247,4.118404555045474,8.43,105.68,0.4343401627224983,2.8828140955833264,0.4242,0.749,98.25135519972021,97.25595317603916,93.62310217255889,75.21079258010118,71.0608973183654,34.19407226958994,86.36518907962787,20,Very good
Route option 587,586,587,4.517014505099138,9.81,83.16,0.2370095338719999,3.161834373289332,0.185,0.705,97.90662236766507,97.93961214800063,92.80782638944714,67.79089376053963,95.85958995637718,14.770604953308975,86.25387149590604,21,Very good
Route option 342,341,342,4.479375562129517,11.1,57.35,0.3028636628093353,3.1354877446652094,0.2479,0.717,97.58437211161349,98.72314847421404,92.88480921112765,69.81450252951096,87.58365067632631,19.87819732034105,86.19788185949929,22,Very good
Route option 762,761,762,1.384237947823924,2.34,19.89,0.6994981583388882,0.9689433406291682,0.8982,0.714,99.77267617596364,99.86035385119793,99.21528526171772,69.30860033726812,37.73828707733732,72.68371904181893,86.00016204814004,23,Very good
Route option 82,81,82,4.195024971764111,7.28,95.89,0.3579590536729053,2.9364471018540073,0.3623,0.714,98.5386325597662,97.5531566101201,93.46639065486038,69.30860033726812,80.65977032508125,29.167681688997167,85.97103668210399,24,Very good
Route option 511,510,511,4.0604220873345005,21.59,109.65,0.4736181313983854,2.8422273409360392,0.0885,0.807,94.96390297519423,97.13543247805127,93.74169354681699,84.99156829679596,66.12480463821319,6.934632561916362,85.81281622862969,25,Very good
Route option 285,284,285,7.861180780112567,14.07,103.17,0.3141234811785297,5.502694661959213,0.2654,0.771,96.8424471034948,97.33215140071158,85.96801273614916,78.92074198988196,86.16862059952543,21.29922858302883,85.79289477195894,26,Very good
Route option 744,743,744,7.899344495741128,31.12,95.73,0.349262799402913,5.529408622640678,0.0934,0.82,92.58324798281332,97.55801386746973,85.88995659846032,87.18381112984822,81.75263532024087,7.33252131546894,85.47939334343887,27,Very good
Route option 290,289,290,10.608787924181254,13.57,166.63,0.3025480882392783,7.425973567219455,0.2745,0.804,96.96735030351478,95.40564170441161,80.34833975567673,84.48566610455315,87.6233091764426,22.03816483962648,85.32305572104067,28,Very good
Route option 298,297,298,2.799346762540236,5.67,53.56,0.3297365817097504,1.9594957701739035,0.5997,0.621,98.94082086383052,98.83820475768358,96.32096727755585,53.62563237774031,84.2065101889137,48.44498578968739,85.2040737276156,29,Very good
Route option 50,49,50,5.004541941592135,6.62,83.14,0.4501928929507202,3.50309539976712,0.5249,0.715,98.70350478379257,97.94021930516934,91.81068792734457,69.47723440134908,69.06867245852962,42.371092164027615,85.20228553395269,30,Very good
Route option 602,601,602,3.662269706322287,4.58,43.98,0.2881376962029065,2.5635273538825825,0.5376,0.614,99.21310983987411,99.12903304149312,94.55603346528575,52.4451939291737,89.43427428097273,43.40235485180675,84.91002089911721,31,Very good
Route option 366,365,366,3.1432145431384204,7.16,51.56,0.5550847929124556,2.2001974476501838,0.4902,0.714,98.56860932777097,98.89892047455405,95.61765549601016,69.30860033726812,55.88682632282978,39.553390174583846,84.82599204293334,32,Very good
Route option 158,157,158,18.049129167526164,22.26,143.37,0.2570066661185823,12.634087613710415,0.172,0.896,94.79653268716744,96.11176549161516,65.130631233925,100.0,93.34653489182165,13.714981729598053,84.48472001989983,33,Very good
Route option 687,686,687,7.094051551025001,20.36,124.07,0.3067751034257028,4.965717071440987,0.1873,0.74,95.27116484724338,96.69767215941518,87.53701993957716,73.69308600337268,87.09209691104328,14.95736906211937,84.47371773111084,34,Very good
Route option 19,18,19,2.0693464419989853,5.56,49.76,0.377160713098596,1.448507792740145,0.1524,0.651,98.96829956783493,98.95356461973745,97.81403483124079,58.68465430016864,78.24668294472205,12.123426715387742,84.2056520356,35,Very good
Route option 663,662,663,11.571293279646252,35.04,213.73,0.3137126828783342,8.099711168448945,0.0555,0.852,91.60400689465664,93.97578657211206,78.37973032352296,92.58010118043845,86.22024593940351,4.254973609419408,84.06168478473349,36,Very good
Route option 797,796,797,4.580996539323735,9.47,123.71,0.4000659751311535,3.206620723843649,0.382,0.682,97.99155654367866,96.70860098845186,92.67696411907352,63.91231028667792,75.36816096236494,30.767356881851406,83.96691853385914,37,Very good
Route option 818,817,818,1.5930527220292638,7.89,23.38,0.4630194299940726,1.1151101793647467,0.3375,0.641,98.3862506557418,99.75440492525894,98.78819700528398,56.9983136593592,67.45675163508179,27.153877385302483,83.82821213216629,38,Very good
Route option 220,219,220,6.516439130184914,10.39,111.71,0.2573853902519267,4.561398067242666,0.3512,0.654,97.76173465564189,97.07289528967469,88.71840896077966,59.190556492411474,93.29894033728081,28.266341859520917,83.72785065444467,39,Very good
Route option 295,294,295,1.2697841588606202,3.17,27.89,0.6453456421454029,0.8888276085037,0.9592,0.62,99.56533686393045,99.61749098371605,99.44937726673314,53.45699831365936,44.54367564007592,77.63702801461633,83.72652851368287,40,Very good
Route option 819,818,819,1.4428849848853167,2.08,22.79,0.6886880668134803,1.0099952826725147,0.6494,0.673,99.83762583997404,99.77231606173575,99.09533464568074,62.39460370994942,39.09679963410045,52.480714575720675,83.7084584759481,41,Very good
Route option 616,615,616,5.992727015234663,19.98,139.98,0.3396887335858095,4.194808372901755,0.1907,0.71,95.36609127925857,96.2146786317106,89.7895558415429,68.63406408094434,82.95581557095765,15.233455136012996,83.54761007266485,42,Very good
Route option 667,666,667,7.693444278907458,12.0,138.15,0.3419275760969459,5.385281925168818,0.3077,0.708,97.35954635157754,96.27023351264708,86.31108371909379,68.29679595278246,82.6744585022552,24.73406414941129,83.46723515087096,43,Very good
Route option 678,677,678,3.846505651937139,8.15,65.32,0.5081301022180325,2.6924894249547267,0.2186,0.703,98.32130099173142,98.4811963424852,94.17921621619736,67.45362563237774,61.78765859213805,17.49898497766951,83.4497437554655,44,Very good
Route option 12,11,12,4.070006969312372,13.99,79.76,0.5104789882753258,2.848936597518533,0.2001,0.713,96.862431615498,98.04282886668042,93.72208961530578,69.13996627318718,61.49247226594101,15.99675192854243,83.18865257792079,45,Very good
Route option 733,732,733,3.8343780229108697,15.54,113.71,0.6002382995151936,2.6840002880970806,0.1814,0.75,96.47523169543604,97.01217957280421,94.20402082092524,75.37942664418213,50.21235025039971,14.478278522127491,83.06952173886214,46,Very good
Route option 408,407,408,11.676735158494514,21.34,252.81,0.2320996962088076,8.173518714683363,0.0895,0.773,95.02635457520422,92.7894014644631,78.1640703523175,79.25801011804386,96.47661305016302,7.015834348355663,82.9542238420557,47,Very good
Route option 358,357,358,4.2557483734329695,6.86,46.17,0.6129078437395983,2.9789524642881795,0.1272,0.737,98.64355124778297,99.06254933151996,93.34219325627029,73.18718381112986,48.62015883584366,10.077141697117337,82.88007816059437,48,Very good
Route option 506,505,506,6.3539463051714495,13.68,151.16,0.2228567341792083,4.447655815815208,0.0681,0.659,96.93987159951037,95.8752777744047,89.05075506790784,60.0337268128162,97.63818323200492,5.278116118554608,82.86018813345144,49,Very good
Route option 61,60,61,4.051382188212395,6.33,55.71,0.4488293338082696,2.8358995632096065,0.2729,0.652,98.77594863980416,98.77293536204782,93.7601828264625,58.85328836424959,69.2400319898115,21.90824198132359,82.73989547788328,50,Very good
Route option 242,241,242,2.698843069597683,3.81,43.4,0.72254975132625,1.8891448712273642,0.4158,0.706,99.40546076790487,99.14664059938555,96.5265271913471,67.95952782462057,34.84137557079554,33.5119772634998,82.59369405647351,51,Very good
Route option 106,105,106,16.521322176308807,32.88,293.53,0.2560811842139536,11.564648351310531,0.0885,0.865,92.14358871874298,91.55322946898035,68.25545047398823,94.77234401349074,93.46284091805094,6.934632561916362,82.45071077864078,52,Very good
Route option 740,739,740,4.7046469902207875,12.74,89.86,0.362730401758652,3.2931739650337493,0.1456,0.641,97.17468961554795,97.73621449648455,92.42406220788529,56.9983136593592,80.06015132352708,11.57125456760049,82.07243696698241,53,Very good
Route option 419,418,419,2.516833755047833,3.63,46.63,0.6660551273718489,1.7617414045453559,0.6479,0.639,99.45042591991206,99.04858471663974,96.89879031832947,56.66104553119731,41.94109862598669,52.35891189606172,82.06876427053395,54,Very good
Route option 633,632,633,1.2138002128651453,3.86,20.81,0.6966550428047135,0.8496397855288031,0.4115,0.644,99.39297044790287,99.83242462143751,99.56388107028097,57.50421585160203,38.09558360386778,33.162809581810805,81.70459129123603,55,Very good
Route option 567,566,567,12.386831829746344,21.6,177.3,0.2738152036502102,8.670574471530681,0.0885,0.749,94.96140491119382,95.08172335490764,76.71171167521487,75.21079258010118,91.23419298945473,6.934632561916362,81.69886301508555,56,Very good
Route option 367,366,367,7.027161461063536,11.93,144.55,0.3504125737570311,4.918895130658236,0.0773,0.675,97.37703279958032,96.07594321866158,87.67383004797613,62.73187183811131,81.60814228853594,6.0251725537961835,81.61749993980808,57,Very good
Route option 112,111,112,10.898767751722009,14.99,202.44,0.3056281415119964,7.628954581613773,0.1876,0.717,96.61262521545801,94.31852679384585,79.75524484935774,69.81450252951096,87.236236501188,14.981729598051158,81.56065225012375,58,Very good
Route option 814,813,814,8.972287446619728,14.72,136.5,0.4382033229377955,6.280450687889035,0.0636,0.738,96.68007294346882,96.32032397906521,83.69546947039434,73.35581787521079,70.5754109883992,4.912708079577752,81.49828682996635,59,Very good
Route option 191,190,191,13.754056020734147,33.09,187.01,0.2448018471512001,9.627608467808065,0.1173,0.768,92.09112937473456,94.78694854950152,73.91533197408887,78.41483979763913,94.88032392415678,9.27324401136825,81.48911113088134,60,Very good
Route option 627,626,627,5.375186701753074,7.24,73.18,0.6637059665614546,3.762540513709856,0.2427,0.712,98.54862481576778,98.24258357518427,91.05260926659916,68.97133220910624,42.23631948061826,19.455948030856682,81.11208978626611,61,Very good
Route option 517,516,517,1.9366886270584376,8.37,52.15,0.6978533097988415,1.3556495478328103,0.2134,0.674,98.26634358372262,98.88100933807725,98.08535947817192,62.56323777403037,37.94499646461446,17.076735688185142,81.11179443957974,62,Very good
Route option 330,329,330,3.5056336906629353,7.44,83.05,0.695148130210747,2.453884770745481,0.1185,0.708,98.49866353575979,97.9429515124285,94.87640065710569,68.29679595278246,38.284958474194866,9.370686155095413,80.96381251964483,63,Very good
Route option 933,932,933,4.844334999539074,7.98,104.37,0.4381389724742766,3.3909532280625325,0.2227,0.622,98.36376807973821,97.29572197058931,92.13835872463567,53.79426644182125,70.58349796088399,17.83191230207065,80.87528639078059,64,Very good
Route option 238,237,238,10.081178796907007,46.43,211.21,0.2514021783636888,7.0566560296304806,0.0422,0.727,88.75871199820139,94.05228837536885,81.42745718452542,71.50084317032041,94.05085519950386,3.1749898497766957,80.78306801734871,65,Very good
Route option 911,910,911,12.290416443750145,16.32,157.26,0.2209266738587358,8.603085318858579,0.0577,0.69,96.28038270340487,95.69009483794974,76.90890978658035,65.26138279932546,97.880735404159,4.433617539585872,80.68335393217629,66,Very good
Route option 296,295,296,1.375537599812041,1.93,15.92,0.7166074338090447,0.9628532429833677,1.0239,0.545,99.87509679998001,99.9808745491858,99.23308005845517,40.80944350758855,35.588151205805005,82.89078359723915,80.64470728640713,67,Very good
Route option 128,127,128,9.131789869493463,31.7,244.3,0.4518440471364546,6.392099707987552,0.0612,0.765,92.43836027079014,93.04774683974692,83.36923962415219,77.9089376053963,68.86117063588544,4.717823792123427,80.64332710241943,68,Very good
Route option 119,118,119,5.089740164479782,8.83,128.56,0.4851123994399233,3.5627327264494295,0.4069,0.619,98.15143263970424,96.56136537504099,91.636432247387,53.288364249578414,64.68031108989041,32.78928136419002,80.61683569191003,69,Very good
Route option 163,162,163,18.266372383873065,21.21,282.54,0.2809310492140329,12.786154220544232,0.1801,0.814,95.05882940720942,91.88686233318357,64.68630430904744,86.17200674536255,90.33993917784554,14.3727161997564,80.54774550218535,70,Very good
Route option 915,914,915,11.990380680967208,22.91,127.23,0.3872042297282959,8.393065318499437,0.0836,0.744,94.63415852714147,96.60174132675984,77.52257206829573,74.36762225969646,76.98450644756315,6.536743808363784,80.526635274968,71,Very good
Route option 778,777,778,9.12173921118764,58.57,289.77,0.2286129944119482,6.385064415789649,0.0504,0.727,85.72606230171618,91.66737501669682,83.38979620664583,71.50084317032041,96.9147895597318,3.8408444985789694,80.50982633031028,72,Very good
Route option 492,491,492,10.957931463218276,15.68,130.55,0.3907417431627869,7.670368187093477,0.06,0.719,96.44025879943044,96.50095323675487,79.63423748058676,70.15177065767286,76.53994440022258,4.620381648396266,80.41216943136041,73,Very good
Route option 384,383,384,22.118275805151516,34.02,199.46,0.2281397052252773,15.482421993481498,0.0857,0.864,91.85880942269742,94.40899321198285,56.80801733244078,94.60370994940978,96.97426817761041,6.707267559886318,80.40909704568357,74,Very good
Route option 729,728,729,13.083578113923206,29.99,286.87,0.4294525977656249,9.158285181400025,0.0645,0.813,92.86552921485848,91.75541280615901,75.28665850635639,86.00337268128162,71.6751213839343,4.985789687373123,80.36332918981101,75,Very good
Route option 440,439,440,8.553107115745867,24.95,174.25,0.3701815729042185,5.987031488710555,0.1541,0.68,94.12455347105994,95.17431482313512,84.55281779416856,63.57504215851604,79.123756886898,12.261469752334552,80.23843571539089,76,Very good
Route option 438,437,438,17.67896810847078,21.72,210.63,0.3362073217003488,12.374981082426691,0.088,0.815,94.93142814318902,94.06989593326128,65.88772058219195,86.34064080944351,83.39332729327253,6.894031668696711,80.22435743548886,77,Very good
Route option 610,609,610,4.071791459471427,5.76,44.7,0.7369772450770542,2.850185710692141,0.2959,0.67,98.91833828782694,99.10717538341976,93.7184398027216,61.88870151770659,33.028261280595345,23.775883069427532,79.90407327000197,78,Very good
Route option 181,180,181,15.960223158139833,48.89,271.32,0.3142592883895061,11.171888451942747,0.02,0.828,88.14418825410307,92.2274775048269,69.40306468025518,88.53288364249578,86.15155360236108,1.3723101908241986,79.81544692012625,79,Very good
Route option 251,250,251,5.599006956344454,8.38,128.01,0.4053444733202108,3.9192109369742734,0.1066,0.608,98.26384551972221,96.57806219718036,90.59483034433771,51.433389544688026,74.70480801536802,8.404384896467723,79.79446708476274,80,Very good
Route option 479,478,479,7.116219884375567,14.1,149.85,0.564926992895858,4.981234532876461,0.0662,0.706,96.83495291149359,95.91504656895484,87.49167911120539,67.95952782462057,54.649949444202115,5.123832724319935,79.73601181945136,81,Very good
Route option 44,43,44,6.623674721591656,30.69,234.27,0.4203439229115783,4.6364611821755695,0.1262,0.676,92.6906647348305,93.35223615985234,88.49908031444303,62.90050590219225,72.81981559263832,9.995939910678036,79.69522999278351,82,Very good
Route option 910,909,910,15.89318310049634,22.52,280.4,0.3028125347552932,11.12496153629853,0.085,0.77,94.73158302315706,91.95182815023497,69.5401815171224,78.75210792580101,87.59007597839297,6.6504263093788065,79.56367811242744,83,Very good
Route option 961,960,961,10.56678954486811,15.94,89.85,0.4403910069061111,7.396575406291516,0.059,0.699,96.37530913542005,97.73651807506891,80.43423891995833,66.77908937605396,70.30048305331181,4.539179861956963,79.5437503457272,84,Very good
Route option 529,528,529,1.434300970559976,10.88,86.74,0.7645274670991573,1.0039866166556066,0.2525,0.648,97.6393295196223,97.8309310148025,99.11289150546406,58.17875210792581,29.566003586414823,20.25172553796184,79.4772120403757,85,Very good
Route option 982,981,982,12.513696844801686,23.34,205.49,0.4152417829937304,8.759377853702032,0.1233,0.741,94.5267417751243,94.2259353256184,76.4522350252095,73.86172006745363,73.46100545939083,9.760454730004062,79.47006147238092,86,Very good
Route option 858,857,858,2.9075682029577052,4.42,38.04,0.5457705500680188,2.0352489628750914,0.369,0.555,99.25307886388049,99.30935872059841,96.09962227707616,42.49578414839799,57.05735441976291,29.71173365814048,79.42787204072772,87,Very good
Route option 17,16,17,18.01982298668329,26.17,258.54,0.2155570067356373,12.61357377877935,0.1472,0.759,93.81978966301116,92.6154509356292,65.19057108122051,76.89713322091063,98.55554562155837,11.701177425903373,79.40473096766634,88,Very good
Route option 850,849,850,18.570344614718785,34.06,322.42,0.235728973103119,12.998929682506654,0.0856,0.803,91.84881716669581,90.67619093878642,64.06459078053767,84.31703204047218,96.02051901790585,6.699147381242387,79.32156499517801,89,Very good
Route option 830,829,830,2.429318418617959,6.8,46.59,0.5953260828414435,1.7004821372568435,0.5128,0.548,98.65853963178537,99.04979903097714,97.0777851839432,41.315345699831376,50.829672316281005,41.38855054811207,79.22657792753829,90,Very good
Route option 40,39,40,13.297366405674602,37.54,234.85,0.4476805960684,9.30793339897898,0.0778,0.785,90.97949089455672,93.3346286019599,74.84939792880613,81.28161888701518,69.38439474940262,6.065773447015834,79.07322530619895,91,Very good
Route option 397,396,397,8.568527613942866,15.78,144.93,0.5669199184648608,5.9978255787444645,0.2384,0.688,96.41527815942645,96.06440723245619,84.52127829360707,64.92411467116357,54.39949694767874,19.106780349167686,79.00636829823726,92,Very good
Route option 398,397,398,2.246940235381793,3.97,50.65,0.7415814018488229,1.5728204686827876,0.6036,0.572,99.36549174389847,98.9265461257301,97.4508027569876,45.362563237774026,32.449653340685444,48.761672756800664,78.77666988263599,93,Very good
Route option 269,268,269,12.634239950365508,19.68,279.28,0.3662749771357192,8.843756005289652,0.0967,0.715,95.44103319927056,91.98582895168244,76.20568855848424,69.47723440134908,79.614701796405,7.600487210718636,78.7737359902579,94,Very good
Route option 11,10,11,2.647066408980849,18.7,79.93,0.4702536346572512,1.8529020774334468,0.1015,0.564,95.68584347130974,98.03766803074645,96.63242584622417,44.013490725126466,66.54762354398068,7.990255785627285,78.759782050672,95,Very good
Route option 218,217,218,14.794538722331568,61.65,301.45,0.3179620803799209,10.355928903133183,0.016,0.805,84.95665858959308,91.31279523017328,71.78723570041366,84.65430016863407,85.6862208711592,1.0475030450669915,78.75255696215277,96,Very good
Route option 674,673,674,10.761548469808602,19.36,199.66,0.5701502653502617,7.532903386351481,0.1473,0.733,95.52097124728334,94.40292164029582,80.03589905155444,72.51264755480608,53.993536757961266,11.709297604547302,78.48110140738915,97,Very good
Route option 195,194,195,6.438483991460573,9.58,110.41,0.4579598477685197,4.50683077796013,0.3781,0.567,97.96407783967426,97.1123605056405,88.87785038155333,44.5193929173693,68.09259324375215,30.45066991473813,78.47042166803728,98,Very good
Route option 93,92,93,10.984556497256763,17.49,207.84,0.6045250859441755,7.689005264242079,0.2163,0.739,95.9881092153581,94.15459435829558,79.57978137513034,73.52445193929174,49.673626486752944,17.312220868859118,78.46135013848992,99,Very good
Route option 703,702,703,7.151960523370016,12.25,139.89,0.6821359687556041,5.0062523805651065,0.0755,0.706,97.29709475156754,96.21741083896977,87.41857888517944,67.95952782462057,39.920206860935394,5.879009338205441,78.43542255733026,100,Very good
Route option 589,588,589,12.85465233546095,24.26,194.33,0.3703154037279947,8.998040977079478,0.0792,0.7,94.29691988708751,94.56472902575561,75.75487974189042,66.94772344013491,79.10693826384056,6.179455948030857,78.32026102985381,101,Very good
Route option 976,975,976,2.2344772840022387,7.49,64.35,0.6887260177267172,1.5640966118034207,0.3534,0.573,98.48617321575779,98.51064346516739,97.47629319555914,45.53119730185497,39.09203031350295,28.444985789687376,78.20612841628048,102,Very good
Route option 456,455,456,7.82063836593908,10.3,99.71,0.3794953405587888,5.474315652202844,0.2655,0.561,97.78421723164547,97.4371895908975,86.05093401912285,43.50758853288366,77.95328850744264,21.307348761672763,78.11922886469395,103,Very good
Route option 172,171,172,4.412416259957881,5.94,63.06,0.6371123737693889,3.0886173564964867,0.2882,0.589,98.87337313581975,98.54980510254885,93.02176087906079,48.22934232715008,45.57835684011263,23.15062931384491,78.10131148257244,104,Very good
Route option 646,645,646,18.642472829147938,46.38,444.07,0.2799881979870213,13.049418222538712,0.0422,0.828,88.7712023182034,86.98315746014012,63.917067151247274,88.53288364249578,90.45842802024285,3.1749898497766957,78.04130776649279,105,Very good
Route option 924,923,924,9.89908442007353,25.07,170.17,0.4164174241374773,6.929193020776991,0.1534,0.649,94.09457670305514,95.29817488555086,81.79989428915157,58.34738617200676,73.31326172824168,12.204628501827044,77.93955872232597,106,Very good
Route option 760,759,760,4.047958082070435,12.23,82.93,0.4900077850576989,2.8335027463551956,0.2268,0.541,97.30209087956834,97.94659445544073,93.76718614089549,40.13490725126477,64.0651041958216,18.164839626471785,77.8332674533844,107,Very good
Route option 704,703,704,1.830435579589469,4.71,23.37,0.647580207565077,1.2812741971725727,0.1751,0.549,99.18063500786891,99.7547085038433,98.30267853022171,41.48397976391232,44.26285607676317,13.966707267559888,77.78415525873466,108,Very good
Route option 213,212,213,1.8823212244222705,4.25,32.6,0.5583629577449485,1.3175932780892796,0.381,0.489,99.29554595188729,99.4745054704861,98.19655697024152,31.365935919055648,55.474856814744356,30.686155095412104,77.65813014709124,109,Very good
Route option 811,810,811,13.119675475135084,17.89,261.57,0.34634825702737,9.183552728656274,0.1588,0.668,95.88818665534211,92.52346662457043,75.21282867740626,61.5514333895447,82.11890811312954,12.643118148599273,77.63987122198593,110,Very good
Route option 481,480,481,14.512610844316493,51.54,363.14,0.2293037580790555,10.158584118322263,0.0381,0.727,87.48220129399715,89.44001894330367,72.36386197755208,71.50084317032041,96.82798075581782,2.842062525375559,77.60047937776282,111,Very good
Route option 605,604,605,1.0065999572197808,2.54,22.83,0.8799499931237791,0.7046030826990274,0.565,0.567,99.72271489595563,99.77110174739833,99.98766715655273,44.5193929173693,15.060765534616651,45.6272838002436,77.58699944475669,112,Very good
Route option 363,362,363,15.456994675053656,59.66,441.44,0.3543872063512229,10.819636956260378,0.0165,0.816,85.45377332567261,87.0629986278248,70.43231644774616,86.50927487352445,81.10864713856071,1.0881039382866424,77.57855838811132,113,Very good
Route option 800,799,800,10.315274839402656,22.29,146.21,0.3081929529972011,7.2205193320347965,0.1717,0.592,94.78903849516624,96.02554917365909,80.94866122285083,48.735244519392914,86.91391465958365,13.690621193666264,77.52305426899802,114,Very good
Route option 686,685,686,1.9470539149624504,8.88,76.62,0.7393580982919439,1.3629050754710217,0.3036,0.577,98.13894231970224,98.13815254216706,98.06415938466702,46.20573355817875,32.72905761699681,24.401136825010152,77.50556813312654,115,Very good
Route option 645,644,645,3.3611146072715155,8.47,64.87,0.7690126597683624,2.3527238369146453,0.1056,0.63,98.24136294371861,98.49485737878108,95.1719851222468,55.14333895446881,29.00234595721754,8.323183110028422,77.48530188717858,116,Very good
Route option 612,611,612,1.1871762102705723,5.33,33.48,0.7811973970699382,0.8310034303736369,0.316,0.564,99.02575503984411,99.4477905550631,99.61833506612814,44.013490725126466,27.47108060334477,25.408038976857494,77.41950103971612,117,Very good
Route option 335,334,335,6.609894265229351,9.53,117.62,0.7774403372398848,4.626815093911571,0.2849,0.668,97.97656815967626,96.89348034632245,88.52726544216225,61.5514333895447,27.943233215895873,22.88266341859521,77.3545692321686,118,Very good
Route option 259,258,259,16.530382801764844,19.08,219.36,0.2043188337469419,11.570990637122998,0.1992,0.647,95.59091703929455,93.80487182912168,68.23691880283161,58.01011804384486,99.96785550666294,15.923670320747057,77.33338014986379,119,Very good
Route option 676,675,676,15.083070226813406,60.09,355.19,0.3437162526913053,10.557896115684239,0.0327,0.782,85.34635657365541,89.68136391786378,71.19710304507684,80.77571669477236,82.44967413223259,2.4035728786033297,77.32510925568096,120,Very good
